userstopcode;userstopareacode;stopname
54264740;dftplp;Delft, Poortlandplein
54264750;dftbtt;Delft, Botanische Tuin
54264760;dftbtt;Delft, Botanische Tuin
54266000;dhopwa;Den Hoorn, Prins Willem Alexanderhof
54266010;sclmng;Schipluiden, Ommedijk
54266090;dhohvd;Den Hoorn, Hof van Delftstraat
54266100;dhohvd;Den Hoorn, Hof van Delftstraat
54266170;dhork;Den Hoorn, RK Kerk
54266180;dhork;Den Hoorn, RK Kerk
54266190;dftcpn;Delft, Componistenpad
54266200;dftcpn;Delft, Componistenpad
54266230;dftvds;Delft, van der Slootsingel
54266240;dftvds;Delft, van der Slootsingel
54266270;dhohsw;Den Hoorn, Hoornseweg
54266280;dhohsw;Den Hoorn, Hoornseweg
54266290;dhohpw;Den Hoorn, Hooipolderweg
54266300;dhohpw;Den Hoorn, Hooipolderweg
54266330;dftrgg;Delft, Reinier de Graaf Gasthuis
54266340;dftrgg;Delft, Reinier de Graaf Gasthuis
54266390;dhosch;Den Hoorn, Schoolstraat
54266400;dhosch;Den Hoorn, Schoolstraat
54266410;dftper;Delft, Persijnlaan
54266430;dftwes;Delft, Libourellaan
54266440;dftwes;Delft, Libourellaan
54266450;dfthvd;Delft, van Houtenstraat
54266460;dfthvd;Delft, van Houtenstraat
54267015;Z1626;Zonegrens 5416/5426
54267045;Z2637;Zonegrens 5426/5437
54267054;Z2026A;Zonegrens 5420/5426 (Buurtbus)
54267088;Z2637B;Zonegrens 5426/5437
54267230;dftvhl;Delft, Vrijheidslaan
54267240;dftvhl;Delft, Vrijheidslaan
54268470;dftchw;Delft, Christiaan Huygensweg
54268480;dftchw;Delft, Christiaan Huygensweg
54268490;dftsti;Delft, Stieltjesweg
54268500;dftsti;Delft, Stieltjesweg
54268510;dftvbw;Delft, Van der Burghweg
54268520;dftvbw;Delft, Van der Burghweg
54268926;;NPKAR 2304/2303
54268927;;NPKAR 1002
54268937;;NPKAR 422
54280010;dhgstr;Den Haag, Strijpkade
54280030;wtrhhs;Wateringen, Harry Hoekstraat
